"group","id","time","y"
32,3,3,4
32,3,4,4
32,3,5,5
32,3,6,3
32,3,7,2
32,3,8,5
32,3,9,6
32,3,10,3
32,3,11,3
32,3,12,4
32,3,13,5
32,3,14,5
32,3,15,3
32,3,16,4
32,3,17,4
32,3,18,5
32,3,19,4
32,3,20,5
32,3,21,4
32,3,22,4
32,3,23,4
32,3,24,6
32,3,25,4
32,3,26,4
32,3,27,4
32,3,28,4
32,3,29,3
32,3,30,5
32,3,31,3
32,3,32,4
32,3,33,3
32,3,34,3
32,3,35,4
32,3,36,5
32,3,37,3
32,3,38,4
32,3,39,4
32,3,40,4
32,3,41,4
32,3,42,4
32,3,43,4
32,3,44,4
32,3,45,3
32,3,46,4
32,3,47,3
32,3,48,4
32,3,49,5
32,3,50,5
32,3,51,5
32,3,52,4
32,3,53,5
32,3,54,5
32,3,55,4
32,3,56,5
32,3,57,4
32,3,58,5
32,3,59,4
32,3,60,5
32,3,61,4
32,3,62,4
32,3,63,4
32,3,64,4
32,3,65,3
32,3,66,5
32,3,67,4
32,3,68,4
32,3,69,3
32,3,70,5
32,3,71,4
32,3,72,5
32,3,73,4
32,3,74,4
32,3,75,4
32,3,76,4
32,3,77,4
32,3,78,5
32,3,79,4
32,3,80,4
32,4,1,4
32,4,2,3
32,4,3,4
32,4,4,5
32,4,5,2
32,4,6,5
32,4,7,3
32,4,8,4
32,4,9,4
32,4,10,4
32,4,11,4
32,4,12,4
32,4,13,4
32,4,14,3
32,4,15,3
32,4,16,5
32,4,17,4
32,4,18,4
32,4,19,5
32,4,20,6
32,4,21,3
32,4,22,3
32,4,23,4
32,4,24,5
32,4,25,3
32,4,26,4
32,4,27,5
32,4,28,4
32,4,29,4
32,4,30,3
32,4,31,3
32,4,32,3
32,4,33,5
32,4,34,4
32,4,35,4
32,4,36,4
32,4,37,3
32,4,38,5
32,4,39,4
32,4,40,5
32,4,41,4
32,4,42,4
32,4,43,4
32,4,44,4
32,4,45,4
32,4,46,5
32,4,47,3
32,4,48,3
32,4,49,5
32,4,50,4
32,4,51,5
32,4,52,4
32,4,53,3
32,4,54,5
32,4,55,5
32,4,56,4
32,4,57,4
32,4,58,5
32,4,59,5
32,4,60,5
32,4,61,5
32,4,62,5
32,4,63,4
32,4,64,4
32,4,65,6
32,4,66,5
32,4,67,3
32,4,68,3
32,4,69,4
32,4,70,4
32,4,71,4
32,4,72,4
32,4,73,4
32,4,74,3
32,4,75,4
32,4,76,4
32,4,77,5
32,4,78,4
32,4,79,4
32,4,80,4
32,5,1,5
32,5,2,5
32,5,3,3
32,5,4,4
32,5,5,3
32,5,6,5
32,5,7,4
32,5,8,4
32,5,9,2
32,5,10,5
32,5,11,3
32,5,12,4
32,5,13,3
32,5,14,4
32,5,15,4
32,5,16,4
32,5,17,5
32,5,18,6
32,5,19,4
32,5,20,4
32,5,21,4
32,5,22,5
32,5,23,3
32,5,24,4
32,5,25,5
32,5,26,4
32,5,27,4
32,5,28,5
32,5,29,4
32,5,30,4
32,5,31,4
32,5,32,3
32,5,33,4
32,5,34,5
32,5,35,4
32,5,36,4
32,5,37,4
32,5,38,4
32,5,39,3
32,5,40,3
32,5,41,4
32,5,42,4
32,5,43,4
32,5,44,4
32,5,45,4
32,5,46,5
32,5,47,5
32,5,48,4
32,5,49,4
32,5,50,4
32,5,51,5
32,5,52,5
32,5,53,4
32,5,54,3
32,5,55,4
32,5,56,3
32,5,57,5
32,5,58,5
32,5,59,4
32,5,60,4
32,5,61,4
32,5,62,4
32,5,63,4
32,5,64,4
32,5,65,5
32,5,66,4
32,5,67,3
32,5,68,5
32,5,69,5
32,5,70,4
32,5,71,4
32,5,72,4
32,5,73,4
32,5,74,4
32,5,75,4
32,5,76,4
32,5,77,3
32,5,78,4
32,5,79,3
32,5,80,5
32,6,1,4
32,6,2,4
32,6,3,5
32,6,4,4
32,6,5,6
32,6,6,3
32,6,7,2
32,6,8,4
32,6,9,5
32,6,10,4
32,6,11,4
32,6,12,5
32,6,13,4
32,6,14,2
32,6,15,5
32,6,16,2
32,6,17,5
32,6,18,4
32,6,19,4
32,6,20,4
32,6,21,5
32,6,22,3
32,6,23,3
32,6,24,5
32,6,25,4
32,6,26,5
32,6,27,2
32,6,28,3
32,6,29,5
32,6,30,5
32,6,31,4
32,6,32,4
32,6,33,3
32,6,34,4
32,6,35,5
32,6,36,4
32,6,37,3
32,6,38,4
32,6,39,4
32,6,40,4
32,6,41,5
32,6,42,4
32,6,43,4
32,6,44,4
32,6,45,4
32,6,46,3
32,6,47,5
32,6,48,5
32,6,49,4
32,6,50,4
32,6,51,4
32,6,52,3
32,6,53,4
32,6,54,3
32,6,55,4
32,6,56,3
32,6,57,4
32,6,58,3
32,6,59,3
32,6,60,4
32,6,61,4
32,6,62,4
32,6,63,4
32,6,64,5
32,6,65,4
32,6,66,4
32,6,67,4
32,6,68,4
32,6,69,4
32,6,70,4
32,6,71,3
32,6,72,4
32,6,73,4
32,6,74,3
32,6,75,4
32,6,76,5
32,6,77,5
32,6,78,4
32,6,79,5
32,6,80,4
33,1,1,4
33,1,2,4
33,1,3,4
33,1,4,2
33,1,5,5
33,1,6,4
33,1,7,4
33,1,8,3
33,1,9,4
33,1,10,5
33,1,11,4
33,1,12,4
33,1,13,3
33,1,14,4
33,1,15,3
33,1,16,4
33,1,17,3
33,1,18,3
33,1,19,5
33,1,20,3
33,1,21,4
33,1,22,4
33,1,23,5
33,1,24,4
33,1,25,5
33,1,26,5
33,1,27,5
33,1,28,6
33,1,29,4
33,1,30,4
33,1,31,4
33,1,32,3
33,1,33,3
33,1,34,3
33,1,35,4
33,1,36,5
33,1,37,3
33,1,38,4
33,1,39,5
33,1,40,5
33,1,41,3
33,1,42,4
33,1,43,4
33,1,44,4
33,1,45,3
33,1,46,4
33,1,47,4
33,1,48,5
33,1,49,5
33,1,50,5
33,1,51,3
33,1,52,5
33,1,53,4
33,1,54,5
33,1,55,3
33,1,56,4
33,1,57,4
33,1,58,4
33,1,59,4
33,1,60,4
33,1,61,4
33,1,62,4
33,1,63,4
33,1,64,4
33,1,65,4
33,1,66,5
33,1,67,4
33,1,68,4
33,1,69,5
33,1,70,4
33,1,71,3
33,1,72,4
33,1,73,4
33,1,74,4
33,1,75,4
33,1,76,4
33,1,77,4
33,1,78,5
33,1,79,4
33,1,80,4
33,2,1,4
33,2,2,4
33,2,3,4
33,2,4,4
33,2,5,2
33,2,6,4
33,2,7,4
33,2,8,4
33,2,9,4
33,2,10,3
33,2,11,5
33,2,12,5
33,2,13,4
33,2,14,4
33,2,15,4
33,2,16,5
33,2,17,6
33,2,18,3
33,2,19,4
33,2,20,4
33,2,21,5
33,2,22,6
33,2,23,4
33,2,24,6
33,2,25,3
33,2,26,3
33,2,27,6
33,2,28,4
33,2,29,4
33,2,30,4
33,2,31,4
33,2,32,4
33,2,33,4
33,2,34,4
33,2,35,5
33,2,36,4
33,2,37,4
33,2,38,5
33,2,39,5
33,2,40,5
33,2,41,5
33,2,42,4
33,2,43,4
33,2,44,4
33,2,45,4
33,2,46,4
33,2,47,5
33,2,48,4
33,2,49,4
33,2,50,4
33,2,51,3
33,2,52,5
33,2,53,4
33,2,54,4
33,2,55,3
33,2,56,3
33,2,57,4
33,2,58,4
33,2,59,3
33,2,60,4
33,2,61,5
33,2,62,5
33,2,63,4
33,2,64,4
33,2,65,4
33,2,66,4
33,2,67,5
33,2,68,4
33,2,69,4
33,2,70,5
33,2,71,4
33,2,72,5
33,2,73,5
33,2,74,4
33,2,75,4
33,2,76,4
33,2,77,4
33,2,78,4
33,2,79,4
33,2,80,4
33,3,1,4
33,3,2,4
33,3,3,4
33,3,4,4
33,3,5,3
33,3,6,3
33,3,7,4
33,3,8,3
33,3,9,4
33,3,10,5
33,3,11,3
33,3,12,4
33,3,13,4
33,3,14,5
33,3,15,1
33,3,16,4
33,3,17,4
33,3,18,3
33,3,19,5
33,3,20,5
33,3,21,3
33,3,22,4
33,3,23,5
33,3,24,4
33,3,25,4
33,3,26,4
33,3,27,3
33,3,28,5
33,3,29,4
33,3,30,3
33,3,31,4
33,3,32,4
33,3,33,3
33,3,34,6
33,3,35,5
33,3,36,4
33,3,37,3
33,3,38,3
33,3,39,5
33,3,40,4
33,3,41,4
33,3,42,3
33,3,43,4
33,3,44,4
33,3,45,4
33,3,46,4
33,3,47,4
33,3,48,4
33,3,49,3
33,3,50,4
33,3,51,4
33,3,52,4
33,3,53,3
33,3,54,4
33,3,55,4
33,3,56,3
33,3,57,5
33,3,58,5
33,3,59,3
33,3,60,4
33,3,61,4
33,3,62,3
33,3,63,5
33,3,64,3
33,3,65,5
33,3,66,3
33,3,67,4
33,3,68,4
33,3,69,4
33,3,70,4
33,3,71,5
33,3,72,4
33,3,73,5
33,3,74,4
33,3,75,4
33,3,76,4
33,3,77,4
33,3,78,4
33,3,79,4
33,3,80,4
33,4,1,3
33,4,2,4
33,4,3,5
33,4,4,6
33,4,5,2
33,4,6,6
33,4,7,3
33,4,8,4
33,4,9,5
33,4,10,6
33,4,11,3
33,4,12,5
33,4,13,6
33,4,14,5
33,4,15,5
33,4,16,4
33,4,17,3
33,4,18,4
33,4,19,5
33,4,20,6
33,4,21,5
33,4,22,5
33,4,23,4
33,4,24,5
33,4,25,4
33,4,26,4
33,4,27,3
33,4,28,4
33,4,29,3
33,4,30,4
33,4,31,3
33,4,32,4
33,4,33,3
33,4,34,5
33,4,35,4
33,4,36,4
33,4,37,3
33,4,38,4
